Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Stars,Certificate,Metascore,Gross,Episode,Episode Title,Init,Ongoing
"Ruby Gillman, Teenage Kraken","Animation, Action, Adventure",5.7,"6,046",91 min,(2023),"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.",,PG,50        ,6046,0,,2023,No
My Hero Academia,"Animation, Action, Adventure",8.3,"72,700",24 min,(2016– ),A superhero-admiring boy without any powers enrolls in a prestigious hero academy and learns what it really means to be a hero.,"Daiki Yamashita,Justin Briner,Nobuhiko Okamoto,Clifford Chapin",TV-14,,72700,0,,2016,Yes
Death Note,"Animation, Crime, Drama",8.9,"355,048",23 min,(2006–2007),An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,"Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô",TV-14,,355048,0,,2006,No
Howl's Moving Castle,"Animation, Adventure, Family",8.2,"422,995",119 min,(2004),"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",,PG,82        ,422995,0,,2004,No
Toy Story,"Animation, Adventure, Comedy",8.3,"1,035,690",81 min,(1995),A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,,G,96        ,1035690,0,,1995,No
The Lord of the Rings: The War of the Rohirrim,"Animation, Action, Adventure",,,130 min,(2024),"The untold story behind Helm's Deep, hundreds of years before the fateful war, telling the life and bloodsoaked times of its founder, Helm Hammerhand, the King of Rohan.",,,,,0,,2024,No
My Happy Marriage,"Animation, Drama, Fantasy",8.3,"1,421",,(2023– ),"An unhappy young woman from an abusive family is married off to a fearsome and chilly army commander. But the two learn more about each other, love may have a chance.","Reina Ueda,Kaito Ishikawa,Houko Kuwashima,Damien C. Haas",TV-14,,1421,0,,2023,Yes
Chainsaw Man,"Animation, Action, Adventure",8.4,"43,330",25 min,(2022– ),"Following a betrayal, a young man left for dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils.","Kikunosuke Toya,Ryan Colt Levy,Tomori Kusunoki,Shogo Sakata",TV-MA,,43330,0,,2022,Yes
Sing,"Animation, Comedy, Family",7.1,"182,717",108 min,(2016),"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",,PG,59        ,182717,0,,2016,No
The Incredibles,"Animation, Action, Adventure",8.0,"777,481",115 min,(2004),"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",,PG,90        ,777481,0,,2004,No
Inside Out,"Animation, Adventure, Comedy",8.1,"752,291",95 min,(I) (2015),"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.",,PG,94        ,752291,0,,2015,No
Baki,"Animation, Action, Drama",6.8,"7,905",45 min,(2018–2020),"The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world.","Tôru Furuya,Kirk Thornton,Troy Baker,Nobunaga Shimazaki",TV-MA,,7905,0,,2018,No
Dragon Ball Z,"Animation, Action, Adventure",8.8,"140,671",24 min,(1989–1996),"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel",TV-PG,,140671,0,,1989,No
Coco,"Animation, Adventure, Drama",8.4,"552,656",105 min,(I) (2017),"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",,PG,81        ,552656,0,,2017,No
Black Clover,"Animation, Action, Adventure",8.3,"30,863",24 min,(2017–2021),"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.","Dallas Reid,Jill Harris,Cris George,Christopher Sabat",TV-PG,,30863,0,,2017,No
Finding Nemo,"Animation, Adventure, Comedy",8.2,"1,082,005",100 min,(2003),"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",,G,90        ,1082005,0,,2003,No
Fullmetal Alchemist: Brotherhood,"Animation, Action, Adventure",9.1,"185,053",24 min,(2009–2010),Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Kent Williams,Iemasa Kayumi,Matthew Leonhart,Vic Mignogna",TV-14,,185053,0,,2009,No
JoJo's Bizarre Adventure,"Animation, Action, Adventure",8.5,"30,645",24 min,(2012– ),"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives.","David Vincent,Matthew Mercer,Daisuke Ono,Unshô Ishizuka",TV-14,,30645,0,,2012,Yes
Your Name.,"Animation, Drama, Fantasy",8.4,"297,948",106 min,(2016),"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",,PG,81        ,297948,0,,2016,No
Tangled,"Animation, Adventure, Comedy",7.7,"477,174",100 min,(2010),"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",,PG,71        ,477174,0,,2010,No
Up,"Animation, Adventure, Comedy",8.3,"1,088,519",96 min,(2009),"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",,PG,88        ,1088519,0,,2009,No
Resident Evil: Death Island,"Animation, Action, Adventure",5.7,"5,758",87 min,(2023),"A t-virus outbreak in San Francisco leads to Alcatraz Island, where a new evil has taken residence.",,R,,5758,0,,2023,No
Hercules,"Animation, Adventure, Comedy",7.3,"245,703",93 min,(1997),The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,,G,74        ,245703,0,,1997,No
One Punch Man,"Animation, Action, Comedy",8.7,"176,198",24 min,(2015–2019),"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar",TV-PG,,176198,0,,2015,No
The First Slam Dunk,"Animation, Comedy, Drama",8.3,"5,242",124 min,(2022),"Follows 17-year-old Ryota Miyagi, who struggles to accomplish his late elder brother's dream of becoming a basketball star.",,PG-13,79        ,5242,0,,2022,No
Boruto: Naruto Next Generations,"Animation, Action, Adventure",6.5,"26,414",23 min,(2017– ),"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow.","Yûko Sanpei,Kokoro Kikuchi,Amanda Céline Miller,Ryûichi Kijima",TV-14,,26414,0,,2017,Yes
WALL·E,"Animation, Adventure, Family",8.4,"1,162,284",98 min,(2008),"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",,G,95        ,1162284,0,,2008,No
A Bug's Life,"Animation, Adventure, Comedy",7.2,"305,992",95 min,(1998),"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",,G,77        ,305992,0,,1998,No
The Little Mermaid,"Animation, Adventure, Family",7.6,"282,153",83 min,(1989),A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,,G,88        ,282153,0,,1989,No
Berserk,"Animation, Action, Adventure",8.7,"46,866",23 min,(1997–1998),"Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows.","Marc Diraison,Nobutoshi Canna,Carrie Keranen,Kevin T. Collins",TV-MA,,46866,0,,1997,No
The Bad Guys,"Animation, Adventure, Comedy",6.8,"51,787",100 min,(2022),"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways.",,PG,64        ,51787,0,,2022,No
Beauty and the Beast,"Animation, Family, Fantasy",8.0,"469,561",84 min,(1991),A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,,G,95        ,469561,0,,1991,No
Scott Pilgrim Takes Off,"Animation, Action, Adventure",,,,(2023– ),"A 20-something Toronto indie rocker's adventures in getting and keeping jobs, avoiding being kicked out of his apartment, and surviving encounters with the seven evil exes of the new girl in town on whom he has a crush.","Mary Elizabeth Winstead,Aubrey Plaza,Brie Larson,Chris Evans",TV-14,,,0,,2023,Yes
Monster,"Animation, Crime, Drama",8.7,"38,631",24 min,(2004–2005),"Dr. Kenzo Tenma, an elite neurosurgeon, finds his life in utter turmoil after following his conscience to operate on a small boy named Johan.","Hidenobu Kiuchi,Liam O'Brien,Mamiko Noto,Karen Strassman",TV-14,,38631,0,,2004,No
Grave of the Fireflies,"Animation, Drama, War",8.5,"294,819",89 min,(1988),A young boy and his little sister struggle to survive in Japan during World War II.,,Not Rated,94        ,294819,0,,1988,No
Aladdin,"Animation, Adventure, Comedy",8.0,"447,252",90 min,(1992),A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,,G,86        ,447252,0,,1992,No
The Princess and the Frog,"Animation, Adventure, Comedy",7.1,"158,709",97 min,(2009),"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.",,G,73        ,158709,0,,2009,No
